# Solar cell efficiency file for crema 5_0 MAPPS format,  produced by geopipeline routine Generate_cell_efficiency_file on Tue Jun 22 14:42:51 2021
# Time        Solar cell efficiency [%] 
01-JAN-2031_01:00:00             0.340
02-JAN-2031_01:00:00             0.340
03-JAN-2031_01:00:00             0.340
04-JAN-2031_01:00:00             0.340
05-JAN-2031_01:00:00             0.340
06-JAN-2031_01:00:00             0.340
07-JAN-2031_01:00:00             0.340
08-JAN-2031_01:00:00             0.340
09-JAN-2031_01:00:00             0.340
10-JAN-2031_01:00:00             0.340
11-JAN-2031_01:00:00             0.340
12-JAN-2031_01:00:00             0.340
13-JAN-2031_01:00:00             0.340
14-JAN-2031_01:00:00             0.340
15-JAN-2031_01:00:00             0.340
16-JAN-2031_01:00:00             0.340
17-JAN-2031_01:00:00             0.340
18-JAN-2031_01:00:00             0.340
19-JAN-2031_01:00:00             0.340
20-JAN-2031_01:00:00             0.340
21-JAN-2031_01:00:00             0.340
22-JAN-2031_01:00:00             0.340
23-JAN-2031_01:00:00             0.340
24-JAN-2031_01:00:00             0.340
25-JAN-2031_01:00:00             0.340
26-JAN-2031_01:00:00             0.340
27-JAN-2031_01:00:00             0.340
28-JAN-2031_01:00:00             0.340
29-JAN-2031_01:00:00             0.340
30-JAN-2031_01:00:00             0.340
31-JAN-2031_01:00:00             0.340
01-FEB-2031_01:00:00             0.340
02-FEB-2031_01:00:00             0.340
03-FEB-2031_01:00:00             0.340
04-FEB-2031_01:00:00             0.340
05-FEB-2031_01:00:00             0.340
06-FEB-2031_01:00:00             0.340
07-FEB-2031_01:00:00             0.340
08-FEB-2031_01:00:00             0.340
09-FEB-2031_01:00:00             0.340
10-FEB-2031_01:00:00             0.340
11-FEB-2031_01:00:00             0.340
12-FEB-2031_01:00:00             0.340
13-FEB-2031_01:00:00             0.340
14-FEB-2031_01:00:00             0.340
15-FEB-2031_01:00:00             0.340
16-FEB-2031_01:00:00             0.340
17-FEB-2031_01:00:00             0.340
18-FEB-2031_01:00:00             0.340
19-FEB-2031_01:00:00             0.340
20-FEB-2031_01:00:00             0.340
21-FEB-2031_01:00:00             0.340
22-FEB-2031_01:00:00             0.340
23-FEB-2031_01:00:00             0.340
24-FEB-2031_01:00:00             0.340
25-FEB-2031_01:00:00             0.340
26-FEB-2031_01:00:00             0.340
27-FEB-2031_01:00:00             0.340
28-FEB-2031_01:00:00             0.340
01-MAR-2031_01:00:00             0.340
02-MAR-2031_01:00:00             0.340
03-MAR-2031_01:00:00             0.340
04-MAR-2031_01:00:00             0.340
05-MAR-2031_01:00:00             0.340
06-MAR-2031_01:00:00             0.340
07-MAR-2031_01:00:00             0.340
08-MAR-2031_01:00:00             0.340
09-MAR-2031_01:00:00             0.340
10-MAR-2031_01:00:00             0.340
11-MAR-2031_01:00:00             0.340
12-MAR-2031_01:00:00             0.340
13-MAR-2031_01:00:00             0.340
14-MAR-2031_01:00:00             0.340
15-MAR-2031_01:00:00             0.340
16-MAR-2031_01:00:00             0.340
17-MAR-2031_01:00:00             0.340
18-MAR-2031_01:00:00             0.340
19-MAR-2031_01:00:00             0.340
20-MAR-2031_01:00:00             0.340
21-MAR-2031_01:00:00             0.340
22-MAR-2031_01:00:00             0.340
23-MAR-2031_01:00:00             0.340
24-MAR-2031_01:00:00             0.340
25-MAR-2031_01:00:00             0.340
26-MAR-2031_01:00:00             0.340
27-MAR-2031_01:00:00             0.340
28-MAR-2031_01:00:00             0.340
29-MAR-2031_01:00:00             0.340
30-MAR-2031_01:00:00             0.340
31-MAR-2031_01:00:00             0.340
01-APR-2031_01:00:00             0.340
02-APR-2031_01:00:00             0.340
03-APR-2031_01:00:00             0.340
04-APR-2031_01:00:00             0.340
05-APR-2031_01:00:00             0.340
06-APR-2031_01:00:00             0.340
07-APR-2031_01:00:00             0.340
08-APR-2031_01:00:00             0.340
09-APR-2031_01:00:00             0.340
10-APR-2031_01:00:00             0.340
11-APR-2031_01:00:00             0.340
12-APR-2031_01:00:00             0.340
13-APR-2031_01:00:00             0.340
14-APR-2031_01:00:00             0.340
15-APR-2031_01:00:00             0.340
16-APR-2031_01:00:00             0.340
17-APR-2031_01:00:00             0.340
18-APR-2031_01:00:00             0.340
19-APR-2031_01:00:00             0.340
20-APR-2031_01:00:00             0.340
21-APR-2031_01:00:00             0.340
22-APR-2031_01:00:00             0.340
23-APR-2031_01:00:00             0.340
24-APR-2031_01:00:00             0.340
25-APR-2031_01:00:00             0.340
26-APR-2031_01:00:00             0.340
27-APR-2031_01:00:00             0.340
28-APR-2031_01:00:00             0.340
29-APR-2031_01:00:00             0.340
30-APR-2031_01:00:00             0.340
01-MAY-2031_01:00:00             0.340
02-MAY-2031_01:00:00             0.340
03-MAY-2031_01:00:00             0.340
04-MAY-2031_01:00:00             0.340
05-MAY-2031_01:00:00             0.340
06-MAY-2031_01:00:00             0.340
07-MAY-2031_01:00:00             0.340
08-MAY-2031_01:00:00             0.340
09-MAY-2031_01:00:00             0.340
10-MAY-2031_01:00:00             0.340
11-MAY-2031_01:00:00             0.340
12-MAY-2031_01:00:00             0.340
13-MAY-2031_01:00:00             0.340
14-MAY-2031_01:00:00             0.340
15-MAY-2031_01:00:00             0.340
16-MAY-2031_01:00:00             0.340
17-MAY-2031_01:00:00             0.340
18-MAY-2031_01:00:00             0.340
19-MAY-2031_01:00:00             0.340
20-MAY-2031_01:00:00             0.340
21-MAY-2031_01:00:00             0.340
22-MAY-2031_01:00:00             0.340
23-MAY-2031_01:00:00             0.340
24-MAY-2031_01:00:00             0.340
25-MAY-2031_01:00:00             0.340
26-MAY-2031_01:00:00             0.340
27-MAY-2031_01:00:00             0.340
28-MAY-2031_01:00:00             0.340
29-MAY-2031_01:00:00             0.340
30-MAY-2031_01:00:00             0.340
31-MAY-2031_01:00:00             0.340
01-JUN-2031_01:00:00             0.340
02-JUN-2031_01:00:00             0.340
03-JUN-2031_01:00:00             0.340
04-JUN-2031_01:00:00             0.340
05-JUN-2031_01:00:00             0.340
06-JUN-2031_01:00:00             0.340
07-JUN-2031_01:00:00             0.340
08-JUN-2031_01:00:00             0.340
09-JUN-2031_01:00:00             0.340
10-JUN-2031_01:00:00             0.340
11-JUN-2031_01:00:00             0.340
12-JUN-2031_01:00:00             0.340
13-JUN-2031_01:00:00             0.340
14-JUN-2031_01:00:00             0.340
15-JUN-2031_01:00:00             0.340
16-JUN-2031_01:00:00             0.340
17-JUN-2031_01:00:00             0.340
18-JUN-2031_01:00:00             0.340
19-JUN-2031_01:00:00             0.340
20-JUN-2031_01:00:00             0.340
21-JUN-2031_01:00:00             0.340
22-JUN-2031_01:00:00             0.340
23-JUN-2031_01:00:00             0.340
24-JUN-2031_01:00:00             0.340
25-JUN-2031_01:00:00             0.340
26-JUN-2031_01:00:00             0.340
27-JUN-2031_01:00:00             0.340
28-JUN-2031_01:00:00             0.340
29-JUN-2031_01:00:00             0.340
30-JUN-2031_01:00:00             0.340
01-JUL-2031_01:00:00             0.340
02-JUL-2031_01:00:00             0.340
03-JUL-2031_01:00:00             0.340
04-JUL-2031_01:00:00             0.340
05-JUL-2031_01:00:00             0.340
06-JUL-2031_01:00:00             0.340
07-JUL-2031_01:00:00             0.340
08-JUL-2031_01:00:00             0.340
09-JUL-2031_01:00:00             0.340
10-JUL-2031_01:00:00             0.340
11-JUL-2031_01:00:00             0.340
12-JUL-2031_01:00:00             0.340
13-JUL-2031_01:00:00             0.340
14-JUL-2031_01:00:00             0.340
15-JUL-2031_01:00:00             0.340
16-JUL-2031_01:00:00             0.340
17-JUL-2031_01:00:00             0.340
18-JUL-2031_01:00:00             0.340
19-JUL-2031_01:00:00             0.340
20-JUL-2031_01:00:00             0.340
21-JUL-2031_01:00:00             0.340
22-JUL-2031_01:00:00             0.340
23-JUL-2031_01:00:00             0.340
24-JUL-2031_01:00:00             0.340
25-JUL-2031_01:00:00             0.340
26-JUL-2031_01:00:00             0.340
27-JUL-2031_01:00:00             0.340
28-JUL-2031_01:00:00             0.340
29-JUL-2031_01:00:00             0.340
30-JUL-2031_01:00:00             0.340
31-JUL-2031_01:00:00             0.340
01-AUG-2031_01:00:00             0.340
02-AUG-2031_01:00:00             0.340
03-AUG-2031_01:00:00             0.340
04-AUG-2031_01:00:00             0.340
05-AUG-2031_01:00:00             0.340
06-AUG-2031_01:00:00             0.340
07-AUG-2031_01:00:00             0.340
08-AUG-2031_01:00:00             0.340
09-AUG-2031_01:00:00             0.340
10-AUG-2031_01:00:00             0.340
11-AUG-2031_01:00:00             0.340
12-AUG-2031_01:00:00             0.340
13-AUG-2031_01:00:00             0.340
14-AUG-2031_01:00:00             0.340
15-AUG-2031_01:00:00             0.340
16-AUG-2031_01:00:00             0.340
17-AUG-2031_01:00:00             0.340
18-AUG-2031_01:00:00             0.340
19-AUG-2031_01:00:00             0.340
20-AUG-2031_01:00:00             0.339
21-AUG-2031_01:00:00             0.339
22-AUG-2031_01:00:00             0.339
23-AUG-2031_01:00:00             0.339
24-AUG-2031_01:00:00             0.339
25-AUG-2031_01:00:00             0.339
26-AUG-2031_01:00:00             0.339
27-AUG-2031_01:00:00             0.339
28-AUG-2031_01:00:00             0.339
29-AUG-2031_01:00:00             0.339
