substrate_conc,velocity,sigma
1.000000,1.969274,1.098464
2.000000,3.816216,1.190811
5.000000,9.621719,1.481086
10.000000,16.878684,1.843934
20.000000,29.053718,2.452686
50.000000,48.970308,3.448515
100.000000,65.041313,4.252066
200.000000,78.269767,4.913488
500.000000,92.702055,5.635103
1000.000000,93.233407,5.661670
